soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,sound_block_key_resp.keys,tone_block_key_resp.keys,starget,Run,PartID,frameRate,ttarget,expName,date,
bi.wav,1,3,1,3,S,0,2,2,2,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
di.wav,2,1,1,4,S,0,3,3,3,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
ba.wav,2,2,1,5,S,0,4,4,4,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
pu.wav,2,3,1,6,S,0,5,5,5,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
ta.wav,3,1,1,7,S,0,6,6,6,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
ti.wav,3,2,1,8,S,0,7,7,7,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
du.wav,3,3,1,9,S,0,8,8,8,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
pi.wav,1,1,2,10,S,0,9,9,9,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
tu.wav,1,2,2,11,S,0,10,10,10,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
bi.wav,1,3,2,12,S,0,11,11,11,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
bu.wav,4,1,1,13,S,0,12,12,12,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
pa.wav,4,2,1,14,S,0,13,13,13,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
da.wav,4,3,1,15,S,0,14,14,14,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
di.wav,2,1,2,16,S,0,15,15,15,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
ba.wav,2,2,2,17,S,0,16,16,16,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
pu.wav,2,3,2,18,S,0,17,17,17,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
ta.wav,3,1,2,19,S,0,18,18,18,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
ti.wav,3,2,2,20,S,0,19,19,19,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
du.wav,3,3,2,21,S,0,20,20,20,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
pi.wav,1,1,3,22,S,0,21,21,21,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
tu.wav,1,2,3,23,S,0,22,22,22,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
bi.wav,1,3,3,24,S,0,23,23,23,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
bu.wav,4,1,2,25,S,0,24,24,24,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
pa.wav,4,2,2,26,S,0,25,25,25,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
da.wav,4,3,2,27,S,0,26,26,26,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
di.wav,2,1,3,28,S,0,27,27,27,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
ba.wav,2,2,3,29,S,0,28,28,28,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
pu.wav,2,3,3,30,S,0,29,29,29,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
bu.wav,4,1,3,31,S,0,30,30,30,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
pa.wav,4,2,3,32,S,0,31,31,31,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
da.wav,4,3,3,33,S,0,32,32,32,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
ta.wav,3,1,3,34,S,0,33,33,33,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
ti.wav,3,2,3,35,S,0,34,34,34,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
du.wav,3,3,3,36,S,0,35,35,35,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
pi.wav,1,1,4,37,S,0,36,36,36,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
tu.wav,1,2,4,38,S,0,37,37,37,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
bi.wav,1,3,4,39,S,0,38,38,38,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
ta.wav,3,1,4,40,S,0,39,39,39,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
ti.wav,3,2,4,41,S,0,40,40,40,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
du.wav,3,3,4,42,S,0,41,41,41,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
pi.wav,1,1,5,43,S,0,42,42,42,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
tu.wav,1,2,5,44,S,0,43,43,43,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
bi.wav,1,3,5,45,S,0,44,44,44,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
bu.wav,4,1,4,46,S,0,45,45,45,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
pa.wav,4,2,4,47,S,0,46,46,46,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
da.wav,4,3,4,48,S,0,47,47,47,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
di.wav,2,1,4,49,S,0,48,48,48,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
ba.wav,2,2,4,50,S,0,49,49,49,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
pu.wav,2,3,4,51,S,0,50,50,50,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
ta.wav,3,1,5,52,S,0,51,51,51,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
ti.wav,3,2,5,53,S,0,52,52,52,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
du.wav,3,3,5,54,S,0,53,53,53,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
pi.wav,1,1,6,55,S,0,54,54,54,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
tu.wav,1,2,6,56,S,0,55,55,55,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
bi.wav,1,3,6,57,S,0,56,56,56,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
bu.wav,4,1,5,58,S,0,57,57,57,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
pa.wav,4,2,5,59,S,0,58,58,58,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
da.wav,4,3,5,60,S,0,59,59,59,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
di.wav,2,1,5,61,S,0,60,60,60,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
ba.wav,2,2,5,62,S,0,61,61,61,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
pu.wav,2,3,5,63,S,0,62,62,62,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
bu.wav,4,1,6,64,S,0,63,63,63,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
pa.wav,4,2,6,65,S,0,64,64,64,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
da.wav,4,3,6,66,S,0,65,65,65,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
pi.wav,1,1,7,67,S,0,66,66,66,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
tu.wav,1,2,7,68,S,0,67,67,67,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
bi.wav,1,3,7,69,S,0,68,68,68,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
ta.wav,3,1,6,70,S,0,69,69,69,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
ti.wav,3,2,6,71,S,0,70,70,70,,,,,None,,bi,1,,120.063897347,1c,auditory,2018_Jan_30_1352,
