soundFile,word,location,repetition,trialnum,condition,corrAns,soundFile3,soundFile2,soundFile1,soundFile6,soundFile5,soundFile4,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,fam_trials_loop.thisRepN,twoAFC_1.thisRepN,twoAFC_1.thisTrialN,twoAFC_1.thisN,twoAFC_1.thisIndex,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date
2A.wav,4,1,36,424,S,,,,,,,,0,15,15,15,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
2B.wav,4,2,36,425,S,,,,,,,,0,16,16,16,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
2C.wav,4,3,36,426,S,,,,,,,,0,17,17,17,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
4A.wav,3,1,36,427,S,,,,,,,,0,18,18,18,,,,,,,,,,,,3,0.05027318,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
4B.wav,3,2,36,428,S,,,,,,,,0,19,19,19,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
4C.wav,3,3,36,429,S,,,,,,,,0,20,20,20,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
1A.wav,2,1,36,430,S,,,,,,,,0,21,21,21,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
1B.wav,2,2,36,431,S,,,,,,,,0,22,22,22,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
1C.wav,2,3,36,432,S,,,,,,,,0,23,23,23,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,0,24,24,24,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,0,25,25,25,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,0,26,26,26,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,0,27,27,27,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,0,28,28,28,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,0,29,29,29,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,0,30,30,30,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,0,31,31,31,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,0,32,32,32,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,0,33,33,33,,,,,,,,,,,,3,0.283618422,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,0,34,34,34,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
silence.wav,0,0,0,0,B,,,,,,,,0,35,35,35,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
ba.wav,0,1,1,409,R,,,,,,,,,,,,0,,,,,,,,0,0,0,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
ti.wav,0,2,1,410,R,,,,,,,,,,,,0,,,,,,,,1,1,1,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
pa.wav,0,3,1,411,R,,,,,,,,,,,,0,,,,,,,,2,2,2,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
tu.wav,0,1,1,412,R,,,,,,,,,,,,0,,,,,,,,3,3,3,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
bi.wav,0,2,1,413,R,,,,,,,,,,,,0,,,,,,,,4,4,4,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
du.wav,0,3,1,414,R,,,,,,,,,,,,0,,,,,,,,5,5,5,,,3,0.233595553,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
ti.wav,0,1,1,415,R,,,,,,,,,,,,0,,,,,,,,6,6,6,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
pa.wav,0,2,1,416,R,,,,,,,,,,,,0,,,,,,,,7,7,7,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
