cond,sound,speaker,trial,eventcode,order
sd,da,e,47,214,943
s,ba,e,45,115,944
s,ba,e,26,115,945
s,ba,e,47,115,946
s,ba,e,8,115,947
s,ba,e,41,115,948
bd,ba,s,41,124,949
s,ba,e,19,115,950
s,ba,e,23,115,951
s,ba,e,22,115,952
s,ba,e,10,115,953
s,ba,e,30,115,954
sd,da,e,46,214,955
s,ba,e,8,115,956
s,ba,e,20,115,957
s,ba,e,4,115,958
s,ba,e,11,115,959
s,ba,e,5,115,960
sd,da,e,24,214,961
s,ba,e,39,115,962
s,ba,e,20,115,963
s,ba,e,4,115,964
s,ba,e,1,115,965
bd,ba,s,29,124,966
s,ba,e,12,115,967
s,ba,e,9,115,968
s,ba,e,10,115,969
s,ba,e,15,115,970
s,ba,e,25,115,971
s,ba,e,48,115,972
sd,da,e,2,214,973
s,ba,e,32,115,974
s,ba,e,38,115,975
s,ba,e,44,115,976
s,ba,e,36,115,977
s,ba,e,31,115,978
sd,da,e,20,214,979
s,ba,e,33,115,980
s,ba,e,35,115,981
s,ba,e,38,115,982
s,ba,e,46,115,983
s,ba,e,35,115,984
s,ba,e,27,115,985
s,ba,e,11,115,986
sd,da,e,16,214,987
s,ba,e,48,115,988
s,ba,e,9,115,989
s,ba,e,46,115,990
s,ba,e,18,115,991
s,ba,e,6,115,992
s,ba,e,22,115,993
s,ba,e,2,115,994
bd,ba,s,3,124,995
s,ba,e,35,115,996
s,ba,e,0,115,997
s,ba,e,24,115,998
s,ba,e,20,115,999
bd,ba,s,35,124,1000
s,ba,e,33,115,1001
s,ba,e,29,115,1002
s,ba,e,47,115,1003
s,ba,e,41,115,1004
s,ba,e,18,115,1005
sd,da,e,34,214,1006
s,ba,e,6,115,1007
s,ba,e,32,115,1008
s,ba,e,14,115,1009
s,ba,e,0,115,1010
bd,ba,s,11,124,1011
s,ba,e,10,115,1012
s,ba,e,47,115,1013
s,ba,e,49,115,1014
s,ba,e,34,115,1015
s,ba,e,36,115,1016
bd,ba,s,35,124,1017
s,ba,e,36,115,1018
s,ba,e,21,115,1019
s,ba,e,36,115,1020
s,ba,e,33,115,1021
sd,da,e,44,214,1022
s,ba,e,16,115,1023
s,ba,e,44,115,1024
s,ba,e,31,115,1025
s,ba,e,32,115,1026
s,ba,e,46,115,1027
s,ba,e,12,115,1028
sd,da,e,7,214,1029
s,ba,e,11,115,1030
s,ba,e,8,115,1031
s,ba,e,8,115,1032
s,ba,e,42,115,1033
sd,da,e,13,214,1034
s,ba,e,8,115,1035
s,ba,e,49,115,1036
s,ba,e,27,115,1037
s,ba,e,8,115,1038
s,ba,e,30,115,1039
bd,ba,s,10,124,1040
s,ba,e,11,115,1041
s,ba,e,42,115,1042
s,ba,e,24,115,1043
s,ba,e,43,115,1044
s,ba,e,36,115,1045
sd,da,e,2,214,1046
s,ba,e,2,115,1047
s,ba,e,37,115,1048
s,ba,e,32,115,1049
s,ba,e,16,115,1050
sd,da,e,5,214,1051
s,ba,e,37,115,1052
s,ba,e,18,115,1053
s,ba,e,29,115,1054
s,ba,e,45,115,1055
sd,da,e,25,214,1056
s,ba,e,21,115,1057
