11.0016 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?
14.4751 	EXP 	window1: blendMode = 'avg'
14.4834 	EXP 	window1: blendMode = 'avg'
14.4918 	EXP 	window1: blendMode = 'avg'
14.5001 	EXP 	window1: blendMode = 'avg'
14.5084 	EXP 	window1: blendMode = 'avg'
14.5168 	EXP 	window1: blendMode = 'avg'
14.5251 	EXP 	window1: blendMode = 'avg'
14.5334 	EXP 	window1: blendMode = 'avg'
14.5418 	EXP 	window1: blendMode = 'avg'
14.5501 	EXP 	window1: blendMode = 'avg'
14.5584 	EXP 	window1: blendMode = 'avg'
14.5668 	EXP 	window1: blendMode = 'avg'
14.5751 	EXP 	window1: blendMode = 'avg'
14.5834 	EXP 	window1: blendMode = 'avg'
14.5918 	EXP 	window1: blendMode = 'avg'
14.6001 	EXP 	window1: blendMode = 'avg'
14.6084 	EXP 	window1: blendMode = 'avg'
14.6168 	EXP 	window1: blendMode = 'avg'
14.6251 	EXP 	window1: blendMode = 'avg'
14.6335 	EXP 	window1: blendMode = 'avg'
14.6418 	EXP 	window1: blendMode = 'avg'
14.6501 	EXP 	window1: blendMode = 'avg'
14.6584 	EXP 	window1: blendMode = 'avg'
14.6669 	EXP 	window1: blendMode = 'avg'
14.6751 	EXP 	window1: blendMode = 'avg'
14.6834 	DATA 	Keypress: 5
14.6840 	EXP 	window1: blendMode = 'avg'
14.6844 	EXP 	Sound  started
14.6916 	EXP 	start_text: autoDraw = False
14.6918 	EXP 	window1: blendMode = 'avg'
14.7001 	EXP 	window1: blendMode = 'avg'
14.7085 	EXP 	window1: blendMode = 'avg'
14.7168 	EXP 	window1: blendMode = 'avg'
14.7251 	EXP 	window1: blendMode = 'avg'
14.7335 	EXP 	window1: blendMode = 'avg'
14.7418 	EXP 	window1: blendMode = 'avg'
14.7501 	EXP 	window1: blendMode = 'avg'
14.7585 	EXP 	window1: blendMode = 'avg'
14.7668 	EXP 	window1: blendMode = 'avg'
14.7751 	EXP 	window1: blendMode = 'avg'
14.7834 	EXP 	window1: blendMode = 'avg'
14.7918 	EXP 	window1: blendMode = 'avg'
14.8001 	EXP 	window1: blendMode = 'avg'
14.8085 	EXP 	window1: blendMode = 'avg'
14.8168 	EXP 	window1: blendMode = 'avg'
14.8251 	EXP 	window1: blendMode = 'avg'
14.8335 	EXP 	window1: blendMode = 'avg'
14.8418 	EXP 	window1: blendMode = 'avg'
14.8502 	EXP 	window1: blendMode = 'avg'
14.8585 	EXP 	window1: blendMode = 'avg'
14.8668 	EXP 	window1: blendMode = 'avg'
14.8751 	EXP 	window1: blendMode = 'avg'
14.8835 	EXP 	window1: blendMode = 'avg'
14.8918 	EXP 	window1: blendMode = 'avg'
14.9002 	EXP 	window1: blendMode = 'avg'
14.9085 	EXP 	window1: blendMode = 'avg'
14.9168 	EXP 	window1: blendMode = 'avg'
